Namn;Namn;Namn;Namn;Namn;Namn;Namn
Övriga grupper;Dryck;Öl vin sprit;;;;
Övriga grupper;Dryck;Öl vin sprit;Öl;;;
Övriga grupper;Dryck;Öl vin sprit;Vin;;;
Övriga grupper;Dryck;Öl vin sprit;Cider alkoläsk drink;;;
Övriga grupper;Dryck;Öl vin sprit;Likör;;;
Övriga grupper;Dryck;Öl vin sprit;Starksprit;;;
Övriga grupper;Glass;;;;;
Övriga grupper;Godis choklad tuggummi;;;;;
Övriga grupper;Godis choklad tuggummi;Choklad ;;;;
Övriga grupper;Godis choklad tuggummi;Godis ej choklad;;;;
Övriga grupper;Godis choklad tuggummi;Godis som innehåller choklad;;;;
Övriga grupper;Godis choklad tuggummi;Frukt o nötgodisblandningar;;;;
Övriga grupper;Godis choklad tuggummi;Sockerfritt godis;;;;
Övriga grupper;Godis choklad tuggummi;Tuggummi;;;;
Övriga grupper;Kost- o näringspreparat;;;;;
Övriga grupper;Smaksättare o bakingredienser;;;;;
Övriga grupper;Smaksättare o bakingredienser;Buljong;;;;
Övriga grupper;Smaksättare o bakingredienser;Gelatin agar agar;;;;
Övriga grupper;Smaksättare o bakingredienser;Jäst bakpulver;;;;
Övriga grupper;Smaksättare o bakingredienser;Kakaoprodukter;;;;
Övriga grupper;Smaksättare o bakingredienser;Kryddor ;;;;
Övriga grupper;Smaksättare o bakingredienser;Salt;;;;
Övriga grupper;Smaksättare o bakingredienser;"Senap ketchup HP-sås soja ""smaksättare""";;;;
Övriga grupper;Smaksättare o bakingredienser;Socker sirap honung;;;;
Övriga grupper;Smaksättare o bakingredienser;Sötningsmedel;;;;
Övriga grupper;Smaksättare o bakingredienser;Ättika vinäger;;;;
Övriga grupper;Snacks chips popcorn nötter bars;;;;;
Övriga grupper;Snacks chips popcorn nötter bars;Chips popcorn o dyl;;;;
Övriga grupper;Snacks chips popcorn nötter bars;Nötter frön;;;;
Övriga grupper;Snacks chips popcorn nötter bars;Frukt o nötblandningar bars;;;;
Övriga grupper;Sylt marmelad gelé äppelmos o dyl;;;;;
